Entity,Date
"openly available
LLMs",2024-11-12
LLMs,2023-07-20
GitHub,2023-07-20
LLMs,2023-07-21
prompt,2023-10-04
multi-modal LLMs,2023-10-04
prompt,2023-10-04
LLaVa,2023-10-04
PandaGPT,2023-10-04
LLMs,2024-05-07
ExeDec-style prompting approach,2024-05-07
LLMs,2023-10-12
textual prompts,2023-10-12
toxic embeddings,2023-10-12
generic prompts,2023-10-12
LLM,2023-10-12
LLM,2023-10-12
CLIP,2023-10-12
closed-source LLMs,2023-10-12
LLMs,2023-10-12
ChatReport,2023-10-12
Scaling Laws,2023-11-07
LLMs,2023-11-07
LLMs,2023-11-07
Scaling Laws,2023-11-07
large language models,2023-08-01
large language models,2023-08-01
large language models,2023-08-01
large language models,2023-08-01
"large language
models",2023-08-01
LLMs,2023-08-01
"large language
models",2023-08-01
large language models,2023-08-01
OpenAI,2023-08-01
GPT-3,2023-08-01
LLMs,2023-08-01
GPT-3,2023-08-01
LLMs,2023-08-04
instruction tuning,2023-08-04
instruction tuning,2023-08-04
multimodal LLMs,2023-08-04
BERT,2024-10-15
LLMs,2024-10-15
hierarchical transformers,2024-10-15
LLMs,2024-10-15
LLMs,2024-10-15
artificial neural networks,2024-10-15
LLMs,2024-10-15
LLMs,2024-10-15
LLMs,2024-10-15
LLMs,2024-10-17
chatbots,2024-10-17
pre-trained LLMs,2024-10-16
frozen LLM,2024-10-16
textual prompt,2024-10-16
LLMs,2024-10-16
multi-head attention mechanism,2024-10-16
multi-head attention,2024-10-16
Mixture-of-Head attention,2024-10-16
"Mixture-of-Experts
(MoE)",2024-10-16
multi-head attention,2024-10-16
DiT,2024-10-16
LLMs,2024-10-16
multi-head attention,2024-10-16
multi-head attention,2024-10-16
LLMs,2024-10-17
LLMs,2024-10-17
hard text prompt,2024-10-17
relation-aware tree embedding,2024-10-17
tree embedding,2024-10-17
LLMs,2024-10-17
soft prompt,2024-10-17
logical structure tree,2024-10-17
LLMs,2024-10-17
LLama2,2024-10-17
LLMs,2024-10-17
LLMs,2024-10-17
LLMs,2024-10-17
joint fine-tuning,2024-10-17
label embeddings,2024-10-17
"joint
fine-tuning",2024-10-17
Graph Foundation Models,2024-10-17
fine-tuning,2024-10-17
zero-shot reasoning,2024-10-17
"Knowledge
Graphs",2024-10-17
KGs,2024-10-17
KGs,2024-10-17
SCORE,2024-10-17
zero-shot learning,2024-10-17
SCORE,2024-10-17
zero-shot reasoning,2024-10-17
SCORE,2024-10-17
large language models,2024-10-18
LLMs,2024-10-18
LLMs,2024-10-18
transformers,2024-10-18
Large language models,2024-10-18
LLMs,2024-10-18
LLM,2024-10-18
KGs,2024-10-18
KGs,2024-10-18
LLMs,2024-10-18
GCR,2024-10-18
LLMs,2024-10-18
KGs,2024-10-18
LLM,2024-10-18
GCR,2024-10-18
KGs,2024-10-18
DARAG,2024-10-18
prompting,2024-10-18
LLMs,2024-10-18
DARAG,2024-10-18
LLMs,2024-10-18
PLMs,2024-10-18
"moderate
fine-tuning",2024-10-18
PLMs,2024-10-18
fine-tuning,2024-10-18
"data-driven task
relation learning (TRL)",2024-10-18
fine-tuning,2024-10-18
"Cultural Context
Schema",2024-10-18
LLMs,2024-10-18
suite of LLMs,2024-10-18
"LLM-driven AI
agents",2024-10-18
GNN,2024-10-18
GNNs,2024-10-18
LLM-based agents,2024-10-18
LLMs,2024-10-18
moral status,2024-10-18
LLMs,2024-10-18
M1,2024-10-18
GPT-4o,2024-10-18
Llama-3,2024-10-18
M1,2024-10-18
Large Language Models,2024-09-25
prompts,2024-09-25
LLMs,2024-09-25
CLIP,2024-09-30
LLMs,2024-09-30
Quantum computing,2024-10-01
quantum algorithms,2024-10-01
LLMs,2024-10-01
LLMs,2024-10-01
Llama2,2024-10-01
Tinyllama,2024-10-01
human-written prompt styles,2024-10-01
LLMs,2024-10-01
Llama2,2024-10-01
LLMs,2024-10-01
CALVIN,2024-10-01
SOAP,2024-10-01
LLMs,2024-10-01
Voggite,2024-10-01
LLMs,2024-11-06
LLMs,2024-11-06
expert forecasters,2024-11-06
Multimodal LLMs,2024-11-01
MLLMs,2024-11-01
DynEx,2024-10-02
DynEx,2024-10-02
LLMs,2024-10-02
DynEx,2024-10-02
RAG,2024-10-02
Attention Contributions and Knockouts,2024-10-02
LLMs,2024-10-02
LlaMa,2024-10-02
LLM,2024-10-02
LLMs,2024-10-02
LLMs,2024-10-02
LLMs,2024-07-30
LLM,2024-07-30
machine learning,2024-07-30
LLMs,2024-07-30
"prompt
templates",2024-07-30
LLMs,2024-07-30
Early-exit models,2024-07-31
LLMs,2024-07-31
LLMs,2024-07-31
LLMs,2024-08-01
LLMs,2024-08-01
LLMs,2024-09-02
LLMs,2024-08-05
LLMs,2024-09-10
LLMs,2024-09-10
GPT4,2024-09-10
GPT4o,2024-09-10
LLMs,2024-09-10
LLMs,2024-09-10
Large Language Models,2024-08-19
LLMs,2024-08-19
LLMs,2024-10-10
structural binarization,2024-10-10
structural binarization,2024-10-10
Mistral,2024-10-10
cognitive chains,2024-05-21
LLMs,2024-05-21
LLM,2023-05-16
LLMs,2023-05-16
LLMs,2023-05-16
LLMs,2023-05-16
LLMs,2023-05-16
LLMs,2023-05-17
API providers,2023-05-17
PLMs,2023-05-29
PLMs,2023-05-29
PLMs,2023-05-29
PLMs,2023-05-29
PLMs,2023-05-29
PLMs,2023-05-29
PLMs,2023-05-29
LLMs,2023-11-09
LLMs,2023-11-09
LLMs,2023-11-09
LaMDA,2023-11-09
GPT,2023-11-09
LaMDA,2023-11-09
LaMDA,2023-11-09
GPT,2023-11-07
LLMs,2023-11-07
large language models,2024-01-19
LLMs,2024-01-19
"external
biomedical KGs",2024-01-19
LLMs,2024-03-13
ChatGPT,2024-03-13
LLMs,2024-08-06
LLMs,2024-08-07
LLMs,2024-08-07
prompt,2024-08-07
prompt,2024-08-07
prompt,2024-08-07
prompt,2024-08-07
"LLM-based
approaches",2024-08-07
BERT,2024-08-07
"zero and few-shot
prompting",2024-08-07
GPT-4o,2024-08-07
LLaMA-3,2024-08-07
BERT,2024-08-07
GPT-4o,2024-08-07
LLMs,2024-08-07
RAG mechanism,2024-08-08
knowledge precision segmentation,2024-08-08
MaxMind,2024-08-08
LLMs,2024-08-08
Large Language Model,2024-10-17
GraphRAG,2024-10-17
LLMs,2024-10-17
GraphRAG,2024-10-17
"Chain-of-Thought
prompting method",2024-08-09
LLMs,2024-08-09
LLMs,2024-08-09
Prompts,2024-08-09
LLMs,2024-08-09
prompts,2024-08-09
CPE,2024-08-09
prompts,2024-08-09
CPE,2024-08-09
few-shot prompt,2024-08-09
CPE,2024-08-09
prompts,2024-08-09
zero-shot prompt,2024-08-09
LLMs,2024-08-13
LLMs,2024-08-13
LLMs,2024-08-13
GPT-4,2024-08-14
LLMs,2024-08-14
Mistral-7B,2024-08-14
GPT-4,2024-08-14
ChatGPT,2024-08-16
LLMs,2024-08-16
ChatBot,2024-08-16
LLMs,2024-08-16
prompts,2024-08-16
LLMs,2024-08-19
HELP,2024-08-16
HELP,2024-08-16
LLMs,2024-08-16
HELP,2024-08-16
HELP,2024-08-16
LLMs,2024-10-17
GPT-3,2024-10-17
LLMs,2024-10-24
LLMs,2024-10-24
LLMs,2024-10-24
LLMs,2024-10-24
black box,2024-10-24
grey box,2024-10-24
white box,2024-10-24
LLMs,2024-04-26
Visual Instruction Tuning,2024-04-26
Large Language Models,2024-04-26
Visual Instruction Tuning,2024-04-26
LLMs,2024-04-26
zero-shot prompting,2024-09-24
LLMs,2024-09-24
CoT prompting,2024-09-24
"CoT
prompting",2024-09-24
debiasing,2024-09-24
LLMs,2024-09-24
zero-shot CoT,2024-09-24
debiasing,2024-09-24
LLMs,2024-09-24
debiasing,2024-09-24
CoT prompting,2024-09-24
LLMs,2024-09-24
LLMs,2024-04-30
LLMs,2024-04-30
CRE-LLM,2024-04-30
LLMs,2024-04-30
Llama-2,2024-04-30
ChatGLM2,2024-04-30
Baichuan2,2024-04-30
appropriate prompt,2024-04-30
instruction-supervised fine-tuning,2024-04-30
SanWen,2024-04-30
CRE-LLM,2024-04-30
LLMs,2024-04-30
LLMs,2024-10-10
in-context learning,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
RPLAs,2024-10-10
LLMs,2024-04-30
LLMs,2024-04-30
LLMs,2024-04-30
ChatGPT 3.5,2024-04-30
LLMs,2024-06-11
LLMs,2024-05-01
LLMs,2024-05-01
LLMs,2024-10-24
Llama-3-8B-Instruct,2024-05-01
"QLoRA
fine-tuning",2024-05-01
GPT-4,2024-05-01
LLMs,2024-05-01
FlagEmbedding,2024-05-01
External knowledge graphs,2024-05-01
LLMs,2024-05-01
KGs,2024-05-01
KGs,2024-05-01
KGs,2024-05-01
KGs,2024-05-01
GPT-4,2024-05-01
prompted,2024-05-01
KGs,2024-05-01
LLMs,2024-06-18
"zero-shot
rule extrapolation",2024-06-18
"in-context
learning",2024-06-18
fine-tunability,2024-06-18
LLMs,2024-11-11
soft prompting technique,2024-11-11
"soft prompting
technique",2024-11-11
LLMs,2024-03-19
LLMs,2024-09-24
LLMs,2024-09-24
LLMs,2024-09-24
LLMs,2024-09-24
HuggingFace,2024-09-24
Github,2024-09-24
LLMs,2024-09-04
MUSE,2024-09-04
LLM,2024-09-04
MUSE,2024-09-04
MUSE,2024-09-04
MUSE,2024-09-04
large language models,2024-04-02
LLMs,2024-04-02
MWPs,2024-04-02
MWPs,2024-04-02
LLMs,2024-04-02
LLMs,2024-04-02
MWPs,2024-04-02
Foundation models,2024-07-11
foundation models,2024-07-11
foundation models,2024-07-11
LLMs,2024-07-11
LLMs,2024-03-20
transformers,2024-03-21
LLMs,2024-03-21
Aria Synthetic Environments,2024-03-21
GPT-4,2024-03-25
LLMs,2024-03-25
GPT-4,2024-03-25
Bayesian Knowledge Tracing,2024-03-25
Performance Factor Analysis,2024-03-25
"tensor
factorization",2024-03-25
GPT-4,2024-03-25
hyper-parameter tuning,2024-03-25
LLMs,2024-03-25
ClimateQ&A,2024-03-25
ClimateQ&A,2024-03-25
LLMs,2024-03-25
NLP clustering algorithms,2024-03-25
LLMs,2024-03-26
Large Language Model,2024-03-26
LLM,2024-03-26
LLMs,2024-03-26
LLMs,2024-06-25
active learning paradigm,2024-06-25
GPT-4-Turbo,2024-06-25
LLMs,2024-04-04
LLMs,2024-04-04
chain of thoughts,2024-04-04
direct prompting,2024-04-04
retrieval augmented generation (RAG),2024-04-04
LLMs,2024-04-04
GPT-4,2024-04-04
GPT-4,2024-04-04
Dynamic in-context learning,2024-04-04
LLMs,2024-04-04
contextual word embeddings,2024-04-04
prompting,2024-04-04
LLMs,2024-04-05
LLMs,2024-04-05
Bias,2024-04-05
ethical considerations,2024-04-05
LLMs,2024-04-10
BABERT,2024-04-09
BERT,2024-04-09
BABERT,2024-04-09
PLMs,2024-04-09
task-specific fine-tuning,2024-04-09
BABERT,2024-04-09
LLMs,2024-04-09
LLMs,2024-04-09
GPT-3.5,2024-04-09
"context
learning",2024-04-09
LLMs,2024-04-09
supervised fine-tuning,2024-04-09
LLMs,2024-04-09
MLLMs,2024-04-09
MLLMs,2024-04-09
LLMs,2024-04-09
GPT-4V,2024-04-09
fine-tuning,2024-04-10
prompted appropriately,2024-04-10
LLMs,2024-04-10
ChatFuzz,2024-04-11
LLMs,2024-04-11
ChatGPT,2024-04-11
ChatFuzz,2024-04-11
cooperative (Large) Language Models,2024-04-17
LLMs,2024-04-17
LLMs,2024-04-17
Llama 2,2024-05-22
GPT-4,2024-05-22
GPT-4,2024-05-22
Llama 2,2024-05-22
LLMs,2024-05-22
GPT-4,2024-05-22
zero-shot generation,2024-05-22
LLMs,2024-05-22
LLMs,2024-05-21
Apache Spark,2024-09-24
Spark framework,2024-09-24
LLMs,2024-09-24
LLMs,2024-05-30
generative students,2024-05-30
Generative Students,2024-05-30
Generative Students,2024-05-30
"generative
students",2024-05-30
GPT-4,2024-05-30
generative students,2024-05-30
generative students,2024-05-30
Generative Students,2024-05-30
LLMs,2024-06-04
Low-rank adaptation,2024-05-21
LLMs,2024-05-21
LLMs,2024-05-21
instruction tuning,2024-05-21
"mathematical
reasoning",2024-05-21
continual pretraining,2024-05-21
pretraining,2024-05-21
Affordance Reasoning Chain-of-Thought Prompting,2024-05-22
LLMs,2024-05-22
MLMs,2024-05-22
fine-tuning,2024-05-22
fine-tuning,2024-05-22
fine-tuning,2024-05-22
LLMs,2024-05-24
GPT-4,2024-05-24
"two-stage
fine-tuning",2024-05-24
LLaMA 2,2024-05-24
LLMs,2024-05-24
Scaling laws,2024-05-24
"scaling
laws",2024-05-24
scaling laws,2024-05-24
Robot Foundation Models,2024-05-24
RFMs,2024-05-24
LLMs,2024-05-24
scaling laws,2024-05-24
RFMs,2024-05-24
RFMs,2024-05-24
LLMs,2024-05-27
in-context learning,2024-05-27
in-context learning,2024-05-27
instruction-tuning,2024-05-27
LLMs,2024-05-27
LLMs,2024-05-27
large language models,2024-10-22
LLMs,2024-10-22
"Group
Diffusion Transformers",2024-10-22
GDTs,2024-10-22
diffusion transformers,2024-10-22
data scaling,2024-10-22
GDTs,2024-10-22
LLMs,2024-10-22
"supervised
fine-tuning",2024-10-22
GPT-4,2024-10-22
LLMs,2024-10-22
LLMs,2024-10-22
SFT,2024-10-22
SFT,2024-10-22
GPT-4,2024-10-22
LLMs,2024-11-19
Chain-of-Thought (CoT),2024-11-19
3-step CoT,2024-11-19
3-in-1 CoT prompts,2024-11-19
"standard
prompts",2024-11-19
zero-shot setting,2024-11-19
fine-tuning,2024-10-22
LLMs,2024-10-22
LLMs,2024-10-22
fine-tuning,2024-10-22
medical LLMs,2024-10-22
mappers,2024-10-22
refinement and tuning,2024-10-22
mappers,2024-10-22
LLMs,2024-10-22
LLMs,2024-10-23
LLMs,2024-10-23
"LLM
embeddings",2024-10-23
Chain of Thought,2024-10-24
CoT,2024-10-24
Chain of Thought,2024-10-24
MCoT,2024-10-24
CoT,2024-10-24
LLMs,2024-10-24
LLM-based,2024-11-08
LLMs,2024-11-08
LLM-based,2024-11-08
LLMs,2024-11-08
LLM-based agents,2024-11-08
GrammaMT,2024-10-25
GrammaMT,2024-10-25
gloss-shot,2024-10-25
model-gloss,2024-10-25
GrammaMT,2024-10-25
LLMs,2024-10-25
FLORES,2024-10-25
LLMs,2024-10-25
LLMs,2024-10-28
LLMs,2024-10-29
FHIR,2024-10-29
GPT-4,2024-10-29
Back Translation,2024-01-25
Paraphrasing,2024-01-25
Text Generation,2024-01-25
LLMs,2024-01-25
Text Expansion,2024-01-25
LLMs,2024-01-25
LLMs,2024-01-25
Multimodal large language models,2024-06-11
MLLM,2024-06-11
MLLM,2024-06-11
MLLMs,2024-06-11
MLLM,2024-06-11
LLMs,2024-06-11
MLLM,2024-06-11
ChatGPT,2024-07-08
LLMs,2024-07-08
LLMs,2024-01-30
GPT-4,2024-01-30
OpenAI,2024-01-30
OsakaED,2024-01-30
GPT-4,2024-01-30
GPT-4,2024-01-30
GPT-4,2024-01-30
"ethical
issues",2024-01-30
LLMs,2024-01-31
llama,2024-01-31
chatbots,2024-02-01
"feature-based learning
approaches",2024-02-01
LLMs,2024-02-01
LLMs,2024-02-01
LLMs,2024-02-01
"Synthetic Label
Augmentation Tuning",2024-02-01
LLMs,2024-02-01
In-context learning,2024-03-29
LLMs,2024-03-29
ICL,2024-03-29
prompts,2024-03-29
ICL,2024-03-29
LLMs,2024-03-29
Semi-supervised learning,2024-07-03
SSL,2024-07-03
SSL,2024-07-03
LLMs,2024-07-03
prompting-based LLM,2024-07-03
LLMs,2024-03-29
MACGYVER,2024-03-29
LLMs,2024-03-29
MACGYVER,2024-03-29
humans,2024-03-29
LLMs,2024-03-29
LLMs,2024-03-29
novel prompting techniques,2024-03-29
LLMs,2024-05-24
MORAL EVENTS,2024-05-24
large language models,2024-01-17
LLMs,2024-01-17
LLMs,2024-01-17
in-context learning,2024-01-17
in-context learning,2024-01-17
Etherscan.io,2024-01-17
LLMs,2024-03-22
prompts,2024-03-22
ethics,2023-11-28
LLMs,2023-11-28
LLMs,2023-11-21
"Large Language
Models",2023-11-28
LLMs,2023-11-28
LLMs,2023-11-28
LLMs,2023-11-28
LLMs,2023-11-28
Social biases,2024-05-27
LLMs,2024-05-27
social biases,2024-05-27
LLaMA,2024-10-10
OpenAI GPT-3,2024-10-10
In-Context Learning,2024-10-10
prompt,2024-10-10
DARD,2024-10-10
LLMs,2024-05-28
"chain of
thoughts",2024-05-28
LLMs,2024-05-28
LLMs,2024-10-02
HEART,2024-10-02
LLMs,2024-10-02
prompting,2024-10-02
LLMs,2024-10-02
LLMs,2024-05-29
Large Language Models,2024-05-29
"Embodied Robotic
Control Prompts",2024-05-29
ERCPs,2024-05-29
LLMs,2024-05-29
EKGs,2024-05-29
LLMs,2024-05-30
LLMs,2024-05-30
Brain-Text Transformer,2024-05-30
self-supervised learning techniques,2024-05-30
Stable Diffusion,2024-05-30
LLMs,2024-05-30
SysCaps,2024-10-03
LLMs,2024-10-03
prompt augmentation,2024-10-03
LLMs,2024-08-12
LLMs,2024-08-12
LLMs,2024-05-31
context-inclusive prompt,2024-05-31
LLMs,2024-05-31
LLMs,2024-05-31
"Drosophila olfactory receptor
neurons",2024-10-08
ORNs,2024-10-08
fine-tuning,2024-10-08
ORNs,2024-10-08
E-Learning,2024-06-03
KCs,2024-06-03
Large Language Model,2024-06-03
LLM,2024-06-03
LLM,2024-06-03
E-Learning,2024-06-03
KCs,2024-06-03
EM-Assist,2024-06-03
LLMs,2024-06-03
EM-Assist,2024-06-03
EM-Assist,2024-06-03
LLMs,2024-06-06
jailbreaking prompts,2024-06-06
LLM,2024-06-06
jailbreaking prompts,2024-06-06
jailbreaking prompts,2024-06-06
LLM,2024-06-06
"low
attention values",2024-06-06
LLM,2024-06-06
LLM,2024-06-06
LLMs,2024-06-24
human-written prompt,2024-06-24
hard prompt,2024-06-24
LLMs,2024-06-24
LLMs,2024-06-24
Adversarial prompts,2024-11-04
LLMs,2024-11-04
LLMs,2024-11-04
Llama-2-7B-Chat,2024-11-04
LLMs,2024-11-04
adversarial prompts,2024-11-04
Llama-2-7B-Chat,2024-11-04
LLMs,2024-06-03
LLM,2024-06-03
LLM,2024-06-03
LLM,2024-06-03
LLMs,2024-07-09
LLMs,2024-07-09
GPT4,2024-07-09
GPT3.5,2024-07-09
PaLM-2,2024-07-09
LLMs,2024-07-09
LLMs,2024-07-09
PVRs,2024-07-16
fine-tuning,2024-07-16
LLMs,2023-10-06
LLM,2023-10-06
prompts,2024-03-20
DirectGPT,2024-03-20
ChatGPT,2024-03-20
engineered prompts,2024-03-20
prompts,2024-03-20
ChatGPT,2024-03-20
LLMs,2024-03-20
Prompt engineering,2024-07-08
LLMs,2024-07-08
LLM systems,2024-07-08
prompt engineering,2024-07-08
self-attention,2024-07-08
LLMs,2024-07-08
prompts,2024-07-08
LLMs,2024-07-08
Foundation models,2024-04-11
Knowledge graphs,2024-04-11
ULTRA,2024-04-11
fine-tuned,2024-04-11
KGs,2024-04-11
ULTRA,2024-04-11
Fine-tuning,2024-04-11
Knowledge graphs,2023-10-11
knowledge graphs,2023-10-11
large language models,2023-10-11
LLMs,2023-10-11
LLMs,2023-10-11
ChatGPT,2023-10-11
ChatGPT,2023-10-11
ChatGPT,2023-10-11
ChatGPT,2023-10-11
ChatGPT,2023-10-11
voiceprints,2024-10-08
privacy concerns,2024-10-08
LLM-TSE,2024-10-08
LLaMA 2,2024-10-08
privacy concerns,2024-10-08
voiceprints,2024-10-08
LLMs,2024-10-08
large language model,2023-04-13
LLMs,2023-04-13
LLMs,2023-04-19
GPT-3.5,2023-04-19
"ethical
concerns",2023-04-19
LLMs,2024-11-22
Grouped-query attention,2024-06-24
GQA,2024-06-24
LLMs,2024-06-24
multi-head attention,2024-06-24
MHA,2024-06-24
MHA,2024-06-24
GQA,2024-06-24
MHA,2024-06-24
MHA,2024-06-24
GQA,2024-06-24
GQA,2024-06-24
GQA,2024-06-24
LLMs,2024-07-09
LLM,2024-07-09
Large Language Models,2024-06-25
LLMs,2024-06-25
SEPs,2024-06-25
SEPs,2024-06-25
SEPs,2024-06-25
LLMs,2024-06-25
LLMs,2024-06-25
Llama2-7B,2024-06-25
Mistral-7B,2024-06-25
LLMs,2024-07-12
"supervised
training",2024-07-12
attention,2024-07-12
self-supervised learning,2024-07-12
VLMs,2024-06-26
"zero-shot
classification",2024-06-26
natural language prompts,2024-06-26
zero-shot classification,2024-06-26
"natural
language prompts",2024-06-26
fine tuning,2024-06-26
VLMs,2024-06-26
LLMs,2024-11-05
fine-tuning,2024-11-05
LLMs,2024-06-26
SAEs,2024-06-26
transformers,2024-06-26
SAEs,2024-06-26
SAEs,2024-06-26
transformers,2024-06-26
long-range context,2024-06-26
short-range context,2024-06-26
induction features,2024-06-26
SAEs,2024-06-26
SAEs,2024-06-26
SAEs,2024-06-26
arbitrary prompts,2024-06-26
"large
language model",2024-06-27
LLM,2024-06-27
LLMs,2024-06-27
LLM,2024-06-27
LLMs,2024-06-27
prompting,2024-06-27
LLMs,2024-06-27
"iterative code refinement prompting
strategy",2024-06-27
task-specific fine-tuning,2024-06-28
LLMs,2024-06-28
LLMs,2024-11-01
Wikipedia,2024-06-28
LLMs,2024-06-28
Wikipedia,2024-06-28
LLMs,2024-06-28
CHEW-derived embeddings,2024-06-28
LLMs,2024-06-28
LLMs,2024-11-05
multi-domain synthetic distillation,2024-11-05
LLMs,2024-11-05
LLM-powered agents,2023-10-16
LLMs,2023-10-16
prompt,2023-10-16
LLMs,2024-02-14
Weaver,2023-10-17
Weaver,2023-10-17
Weaver,2023-10-17
Weaver,2023-10-17
ChatGPT,2023-10-17
Weaver,2023-10-17
LLMs,2023-10-17
Prompt-based learning,2024-05-29
LLMs,2024-05-29
multimodal prompts,2024-05-29
multimodal prompts,2024-05-29
multi-task finetuning,2024-05-29
LLMs,2023-10-19
LLMs,2023-10-19
"10
LLMs",2024-06-04
Open-Prompt-Injection,2024-06-04
SNNKs,2024-03-07
SNNKs,2024-03-07
Transformers,2024-03-07
fine-tuning,2024-03-07
SNNKs,2024-03-07
LLMs,2023-10-25
efficient in-context learning,2023-10-25
prompting,2023-10-25
LLMs,2024-06-17
"trustworthiness
concerns",2024-06-17
self-attention mechanism,2024-06-17
LLMs,2023-11-03
LLMs,2024-10-03
VLMs,2024-10-03
LLMs,2024-10-03
open-domain prompts,2024-10-03
LLMs,2024-10-03
Code-Survey,2024-10-04
Code-Survey,2024-10-04
LLMs,2024-10-04
Code-Survey,2024-10-04
Code-Survey,2024-10-04
Code-Survey,2024-10-04
Code-Survey,2024-10-04
LLMs,2024-10-04
Llama3-8b-Instruct chat model,2024-10-04
model,2024-10-04
model,2024-10-04
model,2024-10-04
model,2024-10-04
GPT,2024-10-04
SoTA LLMs,2024-10-04
LLMs,2024-10-04
LLMs,2024-10-04
LLMs,2024-10-07
Evidential Deep Learning,2024-10-07
LLMs,2024-10-07
RippleCOT,2024-10-07
Chain-of-Thought,2024-10-07
thought,2024-10-07
LLMs,2024-10-07
LLMs,2024-10-07
Large Language Models,2024-10-07
LLMs,2024-10-07
ERs,2024-10-07
ERs,2024-10-07
LLMs,2024-10-07
ERs,2024-10-07
LLMs,2024-10-07
ERs,2024-10-07
LLMs,2024-10-07
LLM,2024-10-08
RAG,2024-10-08
SwiftKV,2024-10-08
prompt tokens,2024-10-08
SingleInputKV,2024-10-08
prompt tokens,2024-10-08
AcrossKV,2024-10-08
SwiftKV,2024-10-08
LLMs,2024-10-08
Instruction Fine-Tuning,2024-10-08
LLMs,2024-10-08
LLMs,2024-10-08
IFT,2024-10-08
IFT,2024-10-08
Benign IFT,2024-10-08
IFT,2024-10-08
LLMs,2024-10-08
Mods$_{Robust}$,2024-10-08
Mods$_{Robust}$,2024-10-08
LLMs,2024-10-08
Benign IFT,2024-10-08
LLMs,2024-10-08
Benign IFT,2024-10-08
LLMs,2024-10-10
LLMs,2024-10-10
verifiers,2024-10-10
Chain-of-Thought,2024-10-10
CoT,2024-10-10
LLMs,2024-10-10
GPT-4o,2024-10-10
LLMs,2024-09-25
LLMs,2024-09-25
Multimodal Large Language Models,2023-12-25
MLLM,2023-12-25
prompted,2023-12-25
MLLM,2023-12-25
MLLM,2023-12-25
Multimodal LLMs,2023-12-25
MLLM,2023-12-25
COCO,2023-12-25
COCO,2023-12-25
MLLMs,2023-12-25
MLLMs,2023-12-25
GPT-4V,2023-12-25
supervised fine-tuning,2023-12-27
LLMs,2023-12-27
zero-shot listwise reranking,2023-12-27
LLMs,2023-12-27
LLMs,2023-12-27
zero-shot listwise reranking,2023-12-27
cross-attention,2023-12-27
zero-shot reranking,2023-12-27
Few-shot object detection,2024-01-01
FSOD,2024-01-01
LRSamples,2024-01-01
fine-tuning,2024-01-01
"Pascal
VOC",2024-01-01
CoT,2024-01-01
Chain-of-Thought,2024-01-01
LLMs,2024-01-01
CoT,2024-01-01
LLMs,2024-01-01
Olapa-MCoT,2024-01-01
LLMs,2024-01-01
llama2-13B,2024-01-01
finetuning,2024-01-01
alignment learning,2024-01-01
SynCLR,2024-01-01
LLMs,2024-01-01
contrastive learning,2024-01-01
SynCLR,2024-01-01
emotion embedding,2024-07-30
LLMs,2024-07-30
KernelGPT,2024-01-02
Large Language Models,2024-01-02
LLMs,2024-01-02
LLMs,2024-01-02
KernelGPT,2024-01-02
KernelGPT,2024-01-02
LLMs,2024-01-04
LLMs,2024-08-28
LLM,2024-08-28
public dataset,2024-08-28
RAG,2024-08-30
contrastive loss learning,2024-08-30
"contrastive
learning",2024-08-30
prompt-response pairs,2024-08-30
LLMs,2024-08-30
Large Language Models,2024-08-29
LLMs,2024-08-29
"Large Language
Models",2024-08-29
Knowledge Graphs,2024-08-29
LLMs,2024-08-29
LLMs,2024-08-29
GPT-4,2024-08-30
LLaVA,2024-08-30
LLMs,2024-08-30
VideoLLM-MoD,2024-08-30
LLMs,2024-08-30
LLMs,2024-09-05
open source,2024-09-05
LLMs,2024-09-26
NeuroLM,2024-09-04
vector-quantized temporal-frequency prediction,2024-09-04
NeuroLM,2024-09-04
"multi-task instruction
tuning",2024-09-04
NeuroLM,2024-09-04
LLMs,2024-09-04
NeuroLM,2024-09-04
instruction tuning,2024-09-04
NeuroLM-XL,2024-09-04
NeuroLM,2024-09-04
LLMs,2024-09-05
LLMs,2024-09-05
LLMs,2024-09-05
Llama-3,2024-10-01
Mistral,2024-10-01
LLMs,2024-10-01
LLMs,2024-10-01
Dialect adapters,2024-09-04
LLMs,2024-09-04
MD-3,2024-09-04
dialect adapters,2024-09-04
contrastive learning,2024-09-04
MD-3,2024-09-04
Mistral,2024-09-04
LLMs,2024-09-05
LLMs,2024-09-05
LLMs,2024-09-04
Large Language Model,2024-09-04
LLM,2024-09-04
open-sourced,2024-09-04
LLMs,2024-09-04
LLM,2024-09-04
LLMs,2024-09-05
ChatGPT-3.5,2024-09-05
GPT,2024-09-05
GPT,2024-09-05
GPT,2024-09-05
GPT,2024-09-05
LLMs,2024-09-05
LLMs,2024-09-05
Mamba,2024-09-26
LLMs,2024-09-26
Mamba,2024-09-26
Mamba,2024-09-26
Transformers,2024-09-26
Mamba,2024-09-26
Mamba,2024-09-26
LLMs,2023-08-15
LLMs,2023-08-15
LLMs,2023-08-15
LLMs,2023-08-15
GPT-4,2023-08-15
GPT-3,2023-08-15
LLMs,2023-08-15
Instruct-Starcoder,2023-08-15
Instruct-Codegen,2023-08-15
Wizardcoder,2023-08-15
GPT-4,2023-08-15
GPT-3.5,2023-08-15
fine-tuning,2023-08-08
LECs,2023-08-08
LLMs,2023-09-26
Quantization,2023-08-16
