Human_Readable_Topic,update_date,Categories
Dialogue Systems and Conversational AI,2023-10-17,Applications and Use Cases
Detecting AI-Generated Texts,2023-10-18,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-10-18,Evaluation and Benchmarks
Entity Matching with Large Language Models,2024-10-21,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-10-19,Learning Paradigms
Large Language Models in Healthcare Applications,2024-01-15,Applications and Use Cases
Evolutionary Algorithms with Large Language Models,2024-03-27,Core Models and Architectures
Evolutionary Algorithms with Large Language Models,2024-03-27,Optimization Techniques
Robot Manipulation and Autonomous Systems,2024-05-02,Applications and Use Cases
Social Media Opinion Mining for Elections,2023-10-23,Applications and Use Cases
Detecting AI-Generated Texts,2024-06-11,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-06-11,Evaluation and Benchmarks
Multimodal Image Captioning Models,2023-10-24,Applications and Use Cases
Multimodal Image Captioning Models,2023-10-24,Core Models and Architectures
Brain Decoding with fMRI and Visual Semantics,2023-10-24,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-10-24,Applications and Use Cases
Detecting AI-Generated Texts,2023-10-24,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-10-24,Evaluation and Benchmarks
Action Recognition in Videos using Transformers,2024-10-04,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-10-04,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2024-10-08,Applications and Use Cases
Diffusion-Based Video Generation,2024-10-07,Core Models and Architectures
Diffusion-Based Video Generation,2024-10-07,Applications and Use Cases
Machine Translation with Large Language Models,2024-10-10,Applications and Use Cases
Machine Unlearning in Large Language Models,2024-10-08,Societal Impacts and Ethics
Machine Unlearning in Large Language Models,2024-10-08,Optimization Techniques
Entity Matching with Large Language Models,2024-10-08,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-10-08,Applications and Use Cases
Facial Expression Recognition Methods,2024-10-10,Applications and Use Cases
Sentiment Analysis of COVID-19 Tweets,2023-12-20,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-02-12,Applications and Use Cases
Keyphrase Generation and Evaluation,2024-01-11,Evaluation and Benchmarks
Keyphrase Generation and Evaluation,2024-01-11,Applications and Use Cases
Open-Vocabulary Image Segmentation and Detection,2024-01-02,Applications and Use Cases
Text Classification with Limited Annotations,2024-03-25,Learning Paradigms
Text Classification with Limited Annotations,2024-03-25,Optimization Techniques
AI-powered Tutoring in Programming Education,2024-01-02,Applications and Use Cases
Vision Transformers with Convolutional Layers,2024-03-21,Core Models and Architectures
Graph Learning with Large Language Models,2024-11-22,Core Models and Architectures
Graph Learning with Large Language Models,2024-11-22,Learning Paradigms
Zero-Shot Learning for Visual Recognition,2024-08-28,Learning Paradigms
Partial Differential Equation Solvers,2024-08-30,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-09-04,Applications and Use Cases
Audio Captioning and Representation Learning,2024-09-04,Applications and Use Cases
Audio Captioning and Representation Learning,2024-09-04,Core Models and Architectures
Zero-Shot Learning for Visual Recognition,2024-09-04,Learning Paradigms
Large Language Models in Healthcare Applications,2024-09-05,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-09-06,Applications and Use Cases
Open-Vocabulary Image Segmentation and Detection,2024-09-06,Applications and Use Cases
Climate Change and NLP Applications,2023-08-04,Applications and Use Cases
Climate Change and NLP Applications,2023-08-04,Societal Impacts and Ethics
Reinforcement Learning with Large Language Models,2023-08-04,Learning Paradigms
Zero-Shot Learning for Visual Recognition,2023-08-09,Learning Paradigms
Personalized Recommendation Systems,2023-08-10,Applications and Use Cases
E-commerce Product Attribute Extraction,2024-06-12,Applications and Use Cases
Generative AI and its Applications,2024-06-10,Applications and Use Cases
Large Language Models for Wireless Networking,2024-03-04,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2023-08-16,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-08-17,Applications and Use Cases
Grammatical Error Correction with Large Language Models,2023-08-31,Applications and Use Cases
Molecular and Protein Representation Learning,2023-08-21,Core Models and Architectures
Molecular and Protein Representation Learning,2023-08-21,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-08-22,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-08-22,Applications and Use Cases
Prompt Engineering for Large Language Models,2024-07-10,Learning Paradigms
Prompt Engineering for Large Language Models,2024-07-10,Applications and Use Cases
Generative Adversarial Networks (GANs),2024-07-11,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-17,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2024-10-17,Learning Paradigms
Missing Value Imputation Methods,2024-09-11,Applications and Use Cases
Graph Learning with Large Language Models,2024-07-16,Core Models and Architectures
Graph Learning with Large Language Models,2024-07-16,Learning Paradigms
Robot Manipulation and Autonomous Systems,2024-10-03,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-11-04,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2024-09-04,Learning Paradigms
Multimodal Large Language Models (MLLMs),2024-07-16,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-07-16,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-03-12,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-09-15,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2024-09-05,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-09-15,Learning Paradigms
Large Language Model Safety Evaluation,2024-06-25,Societal Impacts and Ethics
Large Language Model Safety Evaluation,2024-06-25,Evaluation and Benchmarks
Speech-to-Text and Audio Processing,2024-06-12,Applications and Use Cases
Federated Learning for Large Language Models,2024-05-29,Learning Paradigms
Federated Learning for Large Language Models,2024-05-29,Optimization Techniques
Few-Shot Object Detection,2024-02-13,Learning Paradigms
Few-Shot Object Detection,2024-02-13,Applications and Use Cases
Audio Captioning and Representation Learning,2024-06-13,Applications and Use Cases
Audio Captioning and Representation Learning,2024-06-13,Core Models and Architectures
Large Language Models in Healthcare Applications,2024-02-13,Applications and Use Cases
Electroencephalogram Analysis and Modeling,2024-09-23,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-06-04,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-06-04,Applications and Use Cases
Graph Learning with Large Language Models,2024-06-25,Core Models and Architectures
Graph Learning with Large Language Models,2024-06-25,Learning Paradigms
Video Understanding with Large Multimodal Models,2024-06-04,Applications and Use Cases
Conversational Intent Understanding and Dialogue Systems,2024-02-20,Applications and Use Cases
In-Context Learning in Large Language Models,2024-06-19,Core Models and Architectures
In-Context Learning in Large Language Models,2024-06-19,Learning Paradigms
Prompt Engineering for Large Language Models,2024-09-18,Learning Paradigms
Prompt Engineering for Large Language Models,2024-09-18,Applications and Use Cases
Improving Instruction Following in Large Language Models,2024-06-18,Learning Paradigms
Evaluating Chinese Language Models,2024-06-19,Evaluation and Benchmarks
Detecting AI-Generated Texts,2024-06-19,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-06-19,Evaluation and Benchmarks
Personalized Recommendation Systems,2024-06-19,Applications and Use Cases
Monocular Depth Estimation with Transformers and CNNs,2024-06-24,Core Models and Architectures
Monocular Depth Estimation with Transformers and CNNs,2024-10-31,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-21,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-21,Applications and Use Cases
Molecular and Protein Representation Learning,2024-06-21,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-21,Applications and Use Cases
Machine Translation with Large Language Models,2024-06-26,Applications and Use Cases
Autonomous Driving Technologies,2024-06-21,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2024-06-21,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-08-23,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-01-24,Applications and Use Cases
Analogical Reasoning in Large Language Models,2024-05-02,Core Models and Architectures
Analogical Reasoning in Large Language Models,2024-05-02,Learning Paradigms
Large Language Models in Healthcare Applications,2023-09-01,Applications and Use Cases
Video Understanding with Large Multimodal Models,2023-09-06,Applications and Use Cases
Personalized Recommendation Systems,2023-10-02,Applications and Use Cases
Text Style Transfer,2024-08-28,Applications and Use Cases
Text Style Transfer,2024-08-28,Learning Paradigms
Backdoor Attacks on Large Language Models,2024-09-13,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2024-09-13,Evaluation and Benchmarks
Multimodal Large Language Models (MLLMs),2024-06-12,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-06-12,Applications and Use Cases
Sexism Detection and Classification,2024-06-12,Societal Impacts and Ethics
Sexism Detection and Classification,2024-06-12,Applications and Use Cases
Hate Speech Detection and Analysis,2024-06-13,Applications and Use Cases
Hate Speech Detection and Analysis,2024-06-13,Societal Impacts and Ethics
Large Language Models in Healthcare Applications,2024-06-14,Applications and Use Cases
Dialogue Systems and Conversational AI,2024-06-14,Applications and Use Cases
Diffusion Models for Text-Guided Image Generation and Editing,2024-08-09,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-10-29,Applications and Use Cases
Few-Shot Object Detection,2024-07-18,Learning Paradigms
Few-Shot Object Detection,2024-07-18,Applications and Use Cases
Mixture of Experts (MoE) for Large Language Models,2023-03-21,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2023-03-21,Optimization Techniques
ECG Interpretation and Diagnosis,2023-03-23,Applications and Use Cases
Sketch Representation Learning and Retrieval,2023-03-29,Core Models and Architectures
Sketch Representation Learning and Retrieval,2023-03-29,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-03-28,Learning Paradigms
Gaze Estimation and Tracking Systems,2023-07-04,Applications and Use Cases
Machine Translation with Large Language Models,2023-03-29,Applications and Use Cases
Human-Object Interaction Detection,2023-07-27,Applications and Use Cases
Sketch Representation Learning and Retrieval,2023-03-30,Core Models and Architectures
Sketch Representation Learning and Retrieval,2023-03-30,Applications and Use Cases
3D Point Cloud Processing and Learning,2023-04-03,Core Models and Architectures
Speech-to-Text and Audio Processing,2023-04-04,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-07-25,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-07-25,Applications and Use Cases
Language Models for Tabular Data Analysis,2024-05-07,Applications and Use Cases
In-Context Learning in Large Language Models,2024-10-18,Core Models and Architectures
In-Context Learning in Large Language Models,2024-10-18,Learning Paradigms
Stance Detection in Natural Language Processing,2024-04-19,Applications and Use Cases
Few-Shot Object Detection,2024-04-19,Learning Paradigms
Few-Shot Object Detection,2024-04-19,Applications and Use Cases
Large Language Models for Wireless Networking,2024-08-01,Applications and Use Cases
Prompt Engineering for Large Language Models,2024-04-22,Learning Paradigms
Prompt Engineering for Large Language Models,2024-04-22,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-04-26,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-04-26,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-04-24,Applications and Use Cases
Gender Bias in Large Language Models,2024-05-03,Societal Impacts and Ethics
Zero-Shot Learning for Visual Recognition,2024-05-07,Learning Paradigms
Applying Large Language Models in Requirements Engineering,2024-05-09,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-05-09,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-05-10,Applications and Use Cases
Stance Detection in Natural Language Processing,2024-05-10,Applications and Use Cases
Molecular and Protein Representation Learning,2024-05-14,Core Models and Architectures
Molecular and Protein Representation Learning,2024-05-14,Applications and Use Cases
Financial NLP and Large Language Models,2024-05-16,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-05-14,Applications and Use Cases
Molecular and Protein Representation Learning,2024-06-12,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-12,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-05-14,Applications and Use Cases
Cybersecurity and Threat Analysis,2024-05-14,Societal Impacts and Ethics
Self-Admitted Technical Debt Detection in Software Development,2024-05-14,Applications and Use Cases
Reinforcement Learning from Human Feedback,2024-05-14,Learning Paradigms
Large Language Models in Healthcare Applications,2024-05-15,Applications and Use Cases
Watermarking Techniques for Large Language Models,2024-05-15,Societal Impacts and Ethics
Watermarking Techniques for Large Language Models,2024-05-15,Core Models and Architectures
Emotion Recognition and Analysis in Text,2024-05-16,Applications and Use Cases
Self-Supervised Learning for SAR Imagery Analysis,2024-10-08,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2024-10-08,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2024-10-08,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-10-29,Applications and Use Cases
In-Context Learning in Large Language Models,2024-10-29,Core Models and Architectures
In-Context Learning in Large Language Models,2024-10-29,Learning Paradigms
Large Language Models for Wireless Networking,2024-10-29,Applications and Use Cases
Explainability in Large Language Models,2024-10-29,Societal Impacts and Ethics
Explainability in Large Language Models,2024-10-29,Core Models and Architectures
Backdoor Attacks on Large Language Models,2024-11-11,Societal Impacts and Ethics
Backdoor Attacks on Large Language Models,2024-11-11,Evaluation and Benchmarks
Domain Generalization and Adaptation,2024-10-30,Learning Paradigms
Remote Sensing Multimodal Language Models,2024-11-01,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-11-04,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-11-14,Applications and Use Cases
Named Entity Recognition (NER),2024-11-05,Applications and Use Cases
Multi-Object Tracking and Visual Trackers,2024-11-04,Applications and Use Cases
Quantization Techniques for Large Language Models,2024-11-05,Optimization Techniques
Energy and Engineering Applications of AI,2024-11-05,Applications and Use Cases
Mixture of Experts (MoE) for Large Language Models,2024-11-05,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2024-11-05,Optimization Techniques
Chain-of-Thought Prompting for Reasoning,2023-10-24,Learning Paradigms
Chain-of-Thought Prompting for Reasoning,2023-10-24,Core Models and Architectures
Dialogue Systems and Conversational AI,2023-10-24,Applications and Use Cases
Negation Understanding in Large Language Models,2023-10-25,Core Models and Architectures
Negation Understanding in Large Language Models,2023-10-25,Evaluation and Benchmarks
Aspect-Based Sentiment Analysis,2023-10-30,Applications and Use Cases
Sarcasm Detection in Natural Language Processing,2023-10-31,Applications and Use Cases
Sarcasm Detection in Natural Language Processing,2023-10-31,Evaluation and Benchmarks
Open-Source Large Language Models for AI Development,2023-11-09,Infrastructure and Tools
Open-Source Large Language Models for AI Development,2023-11-09,Applications and Use Cases
Syntactic Parsing and Linguistic Analysis in NLP,2023-11-01,Core Models and Architectures
Syntactic Parsing and Linguistic Analysis in NLP,2023-11-01,Applications and Use Cases
Multimodal Image Captioning Models,2024-04-08,Applications and Use Cases
Multimodal Image Captioning Models,2024-04-08,Core Models and Architectures
Named Entity Recognition (NER),2023-11-03,Applications and Use Cases
Autonomous Driving Technologies,2024-08-13,Applications and Use Cases
Multimodal Large Language Models (MLLMs),2023-05-23,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-05-23,Applications and Use Cases
Hate Speech Detection and Analysis,2023-11-03,Applications and Use Cases
Hate Speech Detection and Analysis,2023-11-03,Societal Impacts and Ethics
Code Intelligence and Large Language Models,2023-09-22,Applications and Use Cases
Code Intelligence and Large Language Models,2023-09-22,Infrastructure and Tools
Zero-Shot Learning for Visual Recognition,2024-07-11,Learning Paradigms
Personalized Recommendation Systems,2023-05-25,Applications and Use Cases
In-Context Learning in Large Language Models,2023-11-29,Core Models and Architectures
In-Context Learning in Large Language Models,2023-11-29,Learning Paradigms
Multimodal Large Language Models (MLLMs),2023-10-24,Core Models and Architectures
Multimodal Large Language Models (MLLMs),2023-10-24,Applications and Use Cases
Metaphor Understanding and Generation,2023-05-26,Applications and Use Cases
Metaphor Understanding and Generation,2023-05-26,Learning Paradigms
Large Language Models in Healthcare Applications,2024-10-01,Applications and Use Cases
Financial NLP and Large Language Models,2023-05-29,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-11-09,Learning Paradigms
Disaster Response using Twitter Data Classification,2023-05-31,Applications and Use Cases
Multilingual Language Model Transfer,2023-05-29,Core Models and Architectures
Multilingual Language Model Transfer,2023-05-29,Learning Paradigms
Vision Transformers with Convolutional Layers,2024-04-09,Core Models and Architectures
Machine Translation with Large Language Models,2023-05-30,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-06-16,Learning Paradigms
Grammatical Error Correction with Large Language Models,2023-05-30,Applications and Use Cases
Molecular and Protein Representation Learning,2023-12-29,Core Models and Architectures
Molecular and Protein Representation Learning,2023-12-29,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-11-15,Applications and Use Cases
Self-Supervised Learning for Medical Imaging Analysis,2024-11-15,Applications and Use Cases
Large Language Model Hallucinations,2024-11-15,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-11-15,Evaluation and Benchmarks
Skeleton-based Action Recognition,2024-11-19,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-11-19,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-11-19,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2024-11-19,Learning Paradigms
Zero-Shot Learning for Visual Recognition,2024-11-20,Learning Paradigms
Poetry Generation and Analysis,2024-11-21,Applications and Use Cases
Parameter-Efficient Transfer Learning and Pre-Training,2023-10-17,Core Models and Architectures
Parameter-Efficient Transfer Learning and Pre-Training,2023-10-17,Learning Paradigms
Radiology Report Generation with Multimodal Models,2023-06-16,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-12-12,Learning Paradigms
Federated Learning for Large Language Models,2023-10-06,Learning Paradigms
Federated Learning for Large Language Models,2023-10-06,Optimization Techniques
Large Language Models in Healthcare Applications,2023-06-19,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2024-06-27,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-08-14,Applications and Use Cases
Remote Sensing Multimodal Language Models,2024-04-17,Applications and Use Cases
Remote Sensing Multimodal Language Models,2024-09-10,Applications and Use Cases
Robot Manipulation and Autonomous Systems,2023-12-25,Applications and Use Cases
E-commerce Product Attribute Extraction,2023-06-28,Applications and Use Cases
Time Series Forecasting with Deep Learning Models,2024-11-08,Applications and Use Cases
Molecular and Protein Representation Learning,2024-09-04,Core Models and Architectures
Molecular and Protein Representation Learning,2024-09-04,Applications and Use Cases
Surgical Video Analysis and Recognition,2024-01-15,Applications and Use Cases
Self-Supervised Learning for SAR Imagery Analysis,2024-01-18,Applications and Use Cases
Audio Captioning and Representation Learning,2024-01-19,Applications and Use Cases
Audio Captioning and Representation Learning,2024-01-19,Core Models and Architectures
In-Context Learning in Large Language Models,2024-01-19,Core Models and Architectures
In-Context Learning in Large Language Models,2024-01-19,Learning Paradigms
Sketch Representation Learning and Retrieval,2024-07-02,Core Models and Architectures
Sketch Representation Learning and Retrieval,2024-07-02,Applications and Use Cases
Human Activity Recognition with Wearable Sensors,2024-10-10,Applications and Use Cases
Named Entity Recognition (NER),2024-09-19,Applications and Use Cases
Optimizing KV Cache for Large Language Models,2024-07-03,Optimization Techniques
Optimizing KV Cache for Large Language Models,2024-07-03,Infrastructure and Tools
Surgical Video Analysis and Recognition,2024-07-04,Applications and Use Cases
Sketch Representation Learning and Retrieval,2024-07-08,Core Models and Architectures
Sketch Representation Learning and Retrieval,2024-07-08,Applications and Use Cases
Speech-to-Text and Audio Processing,2024-07-12,Applications and Use Cases
Large Language Model Hallucinations,2024-07-08,Societal Impacts and Ethics
Large Language Model Hallucinations,2024-07-08,Evaluation and Benchmarks
Open-Vocabulary 3D Scene Segmentation,2024-07-18,Applications and Use Cases
Sketch Representation Learning and Retrieval,2024-05-20,Core Models and Architectures
Sketch Representation Learning and Retrieval,2024-05-20,Applications and Use Cases
Audio Captioning and Representation Learning,2024-02-07,Applications and Use Cases
Audio Captioning and Representation Learning,2024-02-07,Core Models and Architectures
Machine Translation with Large Language Models,2024-02-08,Applications and Use Cases
Retrieval-Augmented Generation for Large Language Models,2024-05-24,Applications and Use Cases
Discourse Parsing and Corpus Analysis,2024-02-08,Applications and Use Cases
Discourse Parsing and Corpus Analysis,2024-02-08,Core Models and Architectures
Open-Vocabulary Image Segmentation and Detection,2024-02-09,Applications and Use Cases
Mixture of Experts (MoE) for Large Language Models,2024-06-24,Core Models and Architectures
Mixture of Experts (MoE) for Large Language Models,2024-06-24,Optimization Techniques
Fake News Detection in AI-Generated Content,2023-11-07,Applications and Use Cases
Fake News Detection in AI-Generated Content,2023-11-07,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-11-09,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-11-09,Evaluation and Benchmarks
Propaganda Detection and Analysis,2023-11-07,Applications and Use Cases
Propaganda Detection and Analysis,2023-11-07,Societal Impacts and Ethics
Code Generation with Large Language Models,2023-11-07,Applications and Use Cases
Large Language Models for Social Science Classification,2023-11-13,Applications and Use Cases
AI-powered Tutoring in Programming Education,2024-06-17,Applications and Use Cases
Text Classification with Limited Annotations,2023-11-14,Learning Paradigms
Text Classification with Limited Annotations,2023-11-14,Optimization Techniques
Multimodal GUI Agents for Task Automation,2023-11-14,Applications and Use Cases
Multimodal GUI Agents for Task Automation,2023-11-14,Infrastructure and Tools
Gaze Estimation and Tracking Systems,2024-04-09,Applications and Use Cases
Fairness in Large Language Models,2023-11-16,Societal Impacts and Ethics
Named Entity Recognition (NER),2023-11-16,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-11-16,Applications and Use Cases
Music Generation and Retrieval Systems,2023-10-19,Applications and Use Cases
Open-Vocabulary 3D Scene Segmentation,2023-05-31,Applications and Use Cases
Medical Image Segmentation with SAM,2023-05-02,Applications and Use Cases
Zero-Shot Learning for Visual Recognition,2023-05-03,Learning Paradigms
Retrieval-Augmented Generation for Large Language Models,2023-05-29,Applications and Use Cases
Multilingual Language Model Transfer,2023-10-31,Core Models and Architectures
Multilingual Language Model Transfer,2023-10-31,Learning Paradigms
Retrieval-Augmented Generation for Large Language Models,2023-05-08,Applications and Use Cases
Legal Language Models Evaluation,2023-05-09,Evaluation and Benchmarks
Legal Language Models Evaluation,2023-05-09,Applications and Use Cases
Large Language Models in Healthcare Applications,2024-08-27,Applications and Use Cases
Medical Imaging Reconstruction and Denoising,2023-11-30,Applications and Use Cases
Autonomous Driving Technologies,2023-12-01,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-03-29,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-03-29,Applications and Use Cases
Action Recognition in Videos using Transformers,2024-04-23,Core Models and Architectures
Action Recognition in Videos using Transformers,2024-04-23,Applications and Use Cases
Self-Supervised Learning for Medical Imaging Analysis,2024-09-17,Applications and Use Cases
Automated Grading and Assessment with Large Language Models,2024-02-20,Applications and Use Cases
Vision-Language Prompt Learning,2024-04-04,Core Models and Architectures
Vision-Language Prompt Learning,2024-04-04,Learning Paradigms
Generative AI and its Applications,2022-12-05,Applications and Use Cases
Ethics in Artificial Intelligence Development,2022-12-13,Societal Impacts and Ethics
Theory of Mind in Large Language Models,2023-10-10,Core Models and Architectures
Theory of Mind in Large Language Models,2023-10-10,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-10-10,Societal Impacts and Ethics
Detecting AI-Generated Texts,2024-10-10,Evaluation and Benchmarks
Molecular and Protein Representation Learning,2023-06-21,Core Models and Architectures
Molecular and Protein Representation Learning,2023-06-21,Applications and Use Cases
Speech-to-Text and Audio Processing,2022-12-19,Applications and Use Cases
AI-powered Tutoring in Programming Education,2022-12-20,Applications and Use Cases
Text Summarization with Large Language Models,2024-11-15,Applications and Use Cases
Humor Detection and Generation,2023-12-27,Applications and Use Cases
Personality Traits in Language Models,2024-03-01,Societal Impacts and Ethics
Personality Traits in Language Models,2024-03-01,Core Models and Architectures
Uncertainty in Large Language Models,2023-12-01,Core Models and Architectures
Uncertainty in Large Language Models,2023-12-01,Societal Impacts and Ethics
Cybersecurity and Threat Analysis,2022-12-23,Applications and Use Cases
Cybersecurity and Threat Analysis,2022-12-23,Societal Impacts and Ethics
Automated Program Repair with Large Language Models,2023-02-01,Applications and Use Cases
Detecting AI-Generated Texts,2023-02-01,Societal Impacts and Ethics
Detecting AI-Generated Texts,2023-02-01,Evaluation and Benchmarks
Theory of Mind in Large Language Models,2024-11-06,Core Models and Architectures
Theory of Mind in Large Language Models,2024-11-06,Societal Impacts and Ethics
Natural Language to Visualization (NL2VIS),2023-02-14,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-05-15,Societal Impacts and Ethics
AI-Powered Design and Prototyping Tools,2023-07-21,Applications and Use Cases
AI-Powered Design and Prototyping Tools,2023-07-21,Infrastructure and Tools
Humor Detection and Generation,2023-02-08,Applications and Use Cases
Dialogue Systems and Conversational AI,2023-02-20,Applications and Use Cases
Generative AI and its Applications,2023-04-05,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-02-10,Applications and Use Cases
Galaxy Classification in Astronomy,2023-02-10,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-02-10,Applications and Use Cases
Molecular and Protein Representation Learning,2024-06-13,Core Models and Architectures
Molecular and Protein Representation Learning,2024-06-13,Applications and Use Cases
Game Agents and AI-Driven Game Development,2023-11-09,Applications and Use Cases
Personalized Recommendation Systems,2023-02-15,Applications and Use Cases
Sentiment Analysis of COVID-19 Tweets,2024-02-23,Applications and Use Cases
AI-powered Tutoring in Programming Education,2023-02-15,Applications and Use Cases
Radiology Report Generation with Multimodal Models,2023-02-15,Applications and Use Cases
Gender Bias in Large Language Models,2023-12-07,Societal Impacts and Ethics
Hate Speech Detection and Analysis,2023-03-17,Applications and Use Cases
Hate Speech Detection and Analysis,2023-03-17,Societal Impacts and Ethics
Text Summarization with Large Language Models,2023-02-17,Applications and Use Cases
Machine Translation with Large Language Models,2023-02-21,Applications and Use Cases
Large Language Models in Politics,2023-02-21,Applications and Use Cases
Large Language Models in Politics,2023-02-21,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2023-02-22,Societal Impacts and Ethics
Automated Red Teaming for Large Language Models,2023-02-22,Applications and Use Cases
Reinforcement Learning from Human Feedback,2023-10-11,Learning Paradigms
Large Language Models in Healthcare Applications,2023-08-30,Applications and Use Cases
Text Classification with Limited Annotations,2023-03-21,Learning Paradigms
Text Classification with Limited Annotations,2023-03-21,Optimization Techniques
Robot Manipulation and Autonomous Systems,2023-10-18,Applications and Use Cases
Ethics in Artificial Intelligence Development,2023-02-28,Societal Impacts and Ethics
Generative AI and its Applications,2023-08-11,Applications and Use Cases
Text Summarization with Large Language Models,2023-10-25,Applications and Use Cases
Machine Translation with Large Language Models,2023-06-02,Applications and Use Cases
Concept Bottleneck Models for Visual Classification,2023-03-02,Core Models and Architectures
AI-powered Tutoring in Programming Education,2023-03-28,Applications and Use Cases
Multilingual Language Model Transfer,2023-11-21,Core Models and Architectures
Multilingual Language Model Transfer,2023-11-21,Learning Paradigms
Personality Traits in Language Models,2023-10-16,Societal Impacts and Ethics
Personality Traits in Language Models,2023-10-16,Core Models and Architectures
Generative AI and its Applications,2023-03-03,Applications and Use Cases
Natural Language to Visualization (NL2VIS),2023-06-07,Applications and Use Cases
Emotion Recognition and Analysis in Text,2023-03-07,Applications and Use Cases
Event Extraction and Semantic Annotation,2023-03-10,Applications and Use Cases
NLG Evaluation Metrics and Models,2023-10-25,Evaluation and Benchmarks
NLG Evaluation Metrics and Models,2023-10-25,Core Models and Architectures
Generative AI and its Applications,2023-03-09,Applications and Use Cases
Large Language Models in Healthcare Applications,2023-04-12,Applications and Use Cases
In-Context Learning in Large Language Models,2023-08-22,Core Models and Architectures
In-Context Learning in Large Language Models,2023-08-22,Learning Paradigms
AI-powered Tutoring in Programming Education,2023-03-10,Applications and Use Cases
Molecular and Protein Representation Learning,2024-02-22,Core Models and Architectures
